number,short_description,kb_category,meta
KB0015130,Broken Panic Button in Office,Other Tech Support,"panic, office, panic_button, office_button, broken, broken_panic_button, panic_button_broken"
KB0014366,Unable to Access Student Organization Website,Other Tech Support,"KCS, maroonlink, student organization website, stuact, student org, organization_webpage, organization_website, "
KB0014840,eCampus Logs in to Friend's Account,eCampus,"ecampus, blackboard, login, cant login to ecampus, cannot login to ecampus, log in to blackboard, can't_sign_friend_out_of_ecampus, can't_sign_in_to_ecampus, cant_login_to_ecampus, ecampus_login, can't sign friend out of ecampus, can't sign in to ecampus, "
KB0016947,OAL - Unable to Open RStudio,OAL,"KCS, rstudio, oal, computer, open, load, unable, can't, cannot, voal, reset, user, profile, "
KB0018032,Class Roster Not Exporting Spreadsheets,Howdy,"KCS, howdy, class_roster, excel, spreadsheet, html_page, html_error, how_do_I_export_class_roster, macos, firefox, "
KB0017828,Access Past eCampus Courses,eCampus,"KCS, access, past, ecampus, courses, accessing_past_ecampus_courses, listed, previous, semester, old"
KB0014831,Can't sign in with NetID,NetID,"KCS, can't_sign_in, can't_sign_in_with_netid, unable_to_sign_in, unable_to_sign_in_with_netid"
KB0016326,TAMU Campus Dual Attendance,General,"KCS, attend, attending, a&m, college station, galveston, campus, both, major, only, while, go, to, apply, admit, major, minor, school, different, separate, "
KB0018258,TAMUCT - Faculty Change Email,TAMUCT,"tamuct, ct, central texas, faculty, change my email, tamuct email, i want to change my email, how do i change my email address, "
KB0017109,"AggiePrint - Unable to Print (""Internal server error, please submit to another device."")",Printing,"KCS, aggieprint, aggie_print, unable to print, OAL_printer, OAL_printers, can't print, cannot print, server error, submit to another device"
KB0017784,Logging into OneDrive on Mobile Devices,Android Applications,"KCS, OneDrive, mobile, one_drive"
KB0018316,Unable to Open Secure Message,Security,"secure message, secure reader, encrypted message, received secure message, scs, shs, student counseling, student health, encrypt, encrypting, encryption, locked out of account, cant open email, restricted email, forgot password, "
KB0015004,Duo - Locked Out,Duo,"remote, connection,duo, remote_connection, duo_not_working, security, two factor authentication, two, factor, authentication, rdp, login, locked, text, call, me, passcode, push, notification, hardware, token, yubikey, duo signup, sign up, duo sign up, duo lock out, unable to authenticate, duo authentication, unable, "
KB0018263,Building  - Keyless Entry,Security,"KCS, keyless entry, keyless card, door access, keyless test, keyless, door test, door, office, building"
KB0018215,Duo Re-enrollment Error Message,Duo,"re enroll, enroll in duo, duo, two factor, 2 factor, account is not protected, enroll in duo, can't enroll in duo"
KB0018396,Duo - Manual Activation Code Required,Duo,"KCS, activation code, duo activation, duo manual activation, duo activation, duo code required, manual activation code, manual activation code required, manual activation duo, activation code duo"
KB0020495,Zoom SSO Sign on Error,,KCS
KB0020290,HDC Quick Start Guide,HDC Services,"KCS, new_hire, new_employee, cheat_sheet, help_guide, tech_guide, kcs_guide, kcs_templates, email_templates, kcs_procedure, email_procedure"
KB0016011,Mac - Access Shared Network,macOSX,"map network drive, map drive, shared drive, mac, macOS, voal, "
KB0016655,Listserv - Error Sending to Renamed List,Listserv,"KCS, error sending email to list, new name for list, renamed email list, list name, error sending list, issue email list, mail listserv, mail send"
KB0015437,Error Message and Problem sending email to list,Listserv,"listserv, path, archives, email list, problem sending email to list, archive location, correct path, "
KB0020002,TAMUDirect - Bouncing Delivery Status for User,TAMUDirect,"KCS, tamudirect, tamu_direct, google groups, google, bouncing, delivery status"
KB0015788,Former - DOB Mismatch at Account Activation,Former Student,"KCS, Re: Texas A&M University Former Student Access,gateway,former,student,activate,UIN and DOB do not match our records,"
KB0019746,Disconnected HSC Network Drives,Network Drives,"KCS, hsc network drives, network drives, disconnected, red_x, unable to access network drives, drive, network drive, x_over_drive, drive_error"
KB0018239,Mapping a Local Drive within VOAL,Software,"KCS, voal, parent, local, drive, map, external, computer, "
KB0018667,TAMHSC - HSC Accounts,TAMHSC Accounts,"KCS, HSC account, HSC password, HSC lock, HSC locked account, HSC account lock, HSC username, account expiration, HSC affiliate, affiliate account, question and answer, question profile, question and answer profile"
KB0017704,Ecampus Not Loading Courses,eCampus,"KCS, ecampus, courses, load, unable, cannot, cant, ecampus_not_loading_courses, modules, response, click, information"
KB0017383,OAL - Unable to Log In with Duo,OAL,"KCS, oal, duo, 2-factor authenticatino, 2 factor authentication, two factor authentication, two-factor authentication, duo authentication, can't log in, unable to log in, cannot log in, on campus, oal machines, oal machine,duo security,duo_security"
KB0016624,TAMUCT - Cannot Log into University Writing Center,TAMUCT,"KCS, writing, center, university, tamuct, log, in, on, login, logon, unable, cant, can't, cannot, email, found, not, "
KB0016664,No Cable TV at White Creek,Telecom,"KCS, cable, tv, white, creek, no, cant, cannot, get, "
KB0015563,eCampus - TurnItIn Option,eCampus,"ecampus_turnitin, Ecampus turnitin option, thesis and dissertation services tab, thesis_and_dissertation_services_tab, ecampus, turnitin"
KB0015140,Howdy - Unauthorized Access,Howdy,"howdy, howdy_access, cannot access howdy, can't access howdy, unauthorized_access, howdy portal, "
KB0016821,Hardware - Copy/Paste is not Responding,Counter,"KCS, copy paste not working, copy wont work, keypad copy, paste wont work, copy or paste, mouse pad, keypad, copy, paste"
KB0016722,Adding TAMU Gmail to Windows 10 Mail Client,Windows Applications,"KCS, TAMU Gmail, TAMU_gmail, TAMU g-mail, TAMU_g-mail, TAMU google mail, TAMU_google_mail, Windows 10 Mail, Windows_10_mail, Windows 10 mail client, mail client setup"
KB0016521,Autofill Credentials on CAS,Web Applications,"KCS, autofill, auto, fill, credentials, password, netid, won't, isn't, fill, wont, isnt, unable, can't, cant, update, cas, central, authentication, system, chrome, google, prompt, see, delete, export, passwords, "
KB0016141,Removing Parent account,Howdy,"KCS, remove, parent, account, how, to, "
KB0019110,TAMHSC - Connecting to Wifi,TAMHSC Accounts,"KCS, hsc_wifi, tamhsc_wifi, wifi_tamhsc, tamhsc_network, tamhsc_wireless, hsc_network, hsc_wireless"
KB0016923,Resnet - Setting up AppleTV for Ethernet Use,Resnet,"KCS, appletv, apple, tv, internet, ethernet, wifi, campus, dorm, resident, apartments, mac, address, "
KB0018158,HSC Accessing Diabetes Test Site,TAMHSC Accounts,"hsc, tamhsc, username, diabetes"
KB0017692,OAL - OneDrive for Business Storage Error ,OAL,"KCS, onedrive_storage_error, oal_onedrive_storage, oal_onedrive_storage_error, onedrive_for_business_storage_error"
KB0017841,Network - Unable to Log in to TAMULink-Guest,WiFi,"KCS, network, tamulink guest, tamulink-guest, guest network, guest, , can't log in to network, can't log in to guest network, cannot log in to network, cannot log in to guest network"
KB0015891,Computer Login Logs,Staff Member,"KCS, login, logs, auth, times, log in"
KB0019475,TAMUCT Troubleshooting,TAMUCT,"KCS, tamuct, account, id, tamuct username, account disabled, disabled, myct, "
KB0018386,Counter - Speaker Feedback Noises,Counter,"KCS, software, software troubleshooting, speaker, speakers, laptop speaker, laptop speakers, audio, sound, feedback, loud sound, sounds, odd sounds, weird sounds, screeching, scratching, ungodly, ungodly sounds"
KB0018379,Endnote - Citations not Inserting,Software,"KCS, endnote, endnote citations, endnote inserting citation, endnote inserting citations,  endnote_citations, endnote_inserting_citation, endnote_inserting_citations, "
KB0016035,OAL - OS/Application Issues,Open Access Labs,"KCS, OAL home menu, OAL search bar, search bar not working, home bar not working, home button doesn't respond, windows bar not responding, windows bar does not work, windows bar, windows search, windows home, VOAL home bar, Task Bar Not Working, Unresponsive taskbar, OAL profile, OAL Computer Start bar not working, OAL Computer Startbar not working, Computer Menu, application not working, application_not_working"
KB0018369,Student Business Services - Email formats,Bulkmail,"KCS, SBS new emails, sbs email, New email format, email formats, Student Business Services email formats, email format, Student business office emails,"
KB0018405,Disable Google Drive Sharing,Google Apps/Drive,"KCS, google, drive, block share, stop sharing, google apps, team drive, ecampus, "
KB0018365,VirtualBox - SAS Installation,Software,"KCS, Virtualbox SAS Installation, Virtualbox, SAS Installation, SAS Troubleshooting, SAS in Virtualbox, "
KB0016278,How to Configure TAMU Gmail for Mac Mail on High Sierra and Mojave,Gmail,"KCS, configure, add, gmail, tamu, mac, mail, account, high sierra, macos, setup, incoming, outgoing, server, imap, pop, email, and mojave "
KB0015568,Removing Sketchup Pro to install the free version,Software,"sketch_up, sketchup, sketchup_pro, sketch_up_pro, install_sketchup, install_sketch_up"
KB0015743,Dell Computer - Not Booting and Displaying Blinking Code,Counter,"windows, windows_7, windows_10, dell inspiron, computer wont turn on, computer not booting, blinking code on computer, dropped computer, reseat_device_memory, ram_failure, memory_failure, dell"
KB0015655,USB Port Not Working,Hardware Repair,"usb, port, usb 3.0, usb port, system firmware, bios"
KB0016700,Unable to Open Excel 2016 Files,Office,"KCS, excel, open, files, unable, cant, cannot, can't, able, 2016, corrupt, opened, "
KB0015832,Google Scholar Website Error,Networking,"KCS, google scholar, scholar website error, invalid domain error, library ez proxy, library scholar, website error"
KB0016263,Software - Microsoft Project Online ,Software,"KCS, microsoft, ms, project, online, software, ms project online, microsoft project online, "
KB0015611,Traintraq Administrator Access Forms,TrainTraq,"KCS, traintraq,train_traq,administrator,admin,traintraq_forms,required_forms,admin_access"
KB0015519,Cannot log on to Exchange web app. ,Exchange,"KCS, exchange, owa, online, microsoft exchange, exchange.tamu.edu"
KB0016742,Software - Office 2016 Product Key Not in Database,Office,"KCS, office 2016 product key, product key not in database, cannot find product key, no office products, office 2016, "
KB0018220,Print Acquisition Error,TAMHSC Accounts,"unable to print, printacq, cant use print acquistion, hsc"
KB0018622,Library Web Site - 'Web of Science' Database Not Accessible,"Data, Servers, and Storage","KCS, library database, web of science, unable to access site, library site, database, looping, website loading, tamu libraries, library, data site, libraries"
KB0015567,Library Access,Other Tech Support,"library, access library, library.tamu.edu, netid tamu library"
KB0016202,Library Database - Trouble Logging In,Applications and Software,"KCS, cannot log into library database, private connection library database, error logging into database, DUO, cannot sign into library database, medline database, medline library, "
KB0016416,Access - Library Database,Applicant,"KCS, library database, online database, library access, database login, database access, library online, online access, off campus library, off campus database"
KB0016085,Website - Access to Library Course Reserves,Learning Management System,"KCS, access library course reserves, access library reserves, log i to library reserves, library-reserves.tamu.edu, course reserves, library reserves "
KB0016458,Windows 10 Education Software,Windows 10 OS,"KCS, windows, 10, education, software, upgrade, fresh, install, installer, new, computer, edu, "
KB0014698,Software - Windows on Mac,Windows 10 OS,"KCS, bootcamp, bootcamp_installation, bootcamp steps, need windows on mac, windows on mac, windows OS on Apple, Parallels desktop, parallel on mac, parallels with Mac, parallels, desktop mac program"
KB0019414,Invalid keyless access,,"KCS, AggieID,card,"
KB0018514,Keyless System - Unable to Log In,Telecom,"KCS, keyless.tamu.edu, keyless login, keyless logon, log into keyless, frontier, frontier login, frontier log in, frontier logon, frontier sign in, keyless sign in, log into frontier, frontier log on"
KB0015663,Junk Mail / Blocked emails,"Email, Calendar, and Collaboration","mail, junk, blocked emails, sender, proofpoint, quarantine, release, rule, rules, outlook, inbox, email, spam, "
KB0019149,Account Repeatedly Locked,,"KCS, Windows_Credential_Manager, AUTH_Lock"
KB0014802,Email incorrect in eCampus,"Email, Calendar, and Collaboration","KCS, ecampus email, email in ecampus is wrong, wrong email ecampus, ecampus, wrong email, update ecampus email"
KB0016008,WiFi- Cannot Connect After Password Change,TAMULink-WPA,"KCS, cannot connect to wifi, cannot connect on iphone, password change cannot connect, no connection on wifi, iphone wifi, no forget network, cannot forget network, cant connect to internet, unable to join network, unable to join wifi, unable to join, cant join network, cant join wpa, cant join tamulink, tamuwifi, tamu_wifi"
KB0019021,HSC Missing Drives,,KCS
KB0019855,Mapping a Network Drive,,"map network drive, map_network_drive, map drive, network drive, hsc network drive, tamhsc drive, tamhsc network drive, map_drive, network_drive, "
KB0016668,Frozen Microsoft Edge,Windows Applications,"KCS, microsoft, edge, close, white, window, stuck, not, closing, crash, crashed, windows, 10, froze, frozen, still, pdf, "
KB0015918,Cannot Access myAggieLoans,"Access, Accounts, and ID","KCS, myaggieloans, cannot log in myaggieloans, netid aggie loans, aggieloan, aggieloans, aggie_loan, aggie_loans, my_aggie_loan, my_aggie_loans"
KB0016651,Rec Center - ID Card Not Accepted,Enrolled Student,"KCS, rec id card, rec center, rec card, rec swipe, rec card id, netid card at rec, recreational, sports fee,rec center fee, rec center card swipe, card swipe not working, rec "
KB0014775,Keyboard and Mouse not working- Macbook ,Other Tech Support,"KCS, macbook hardware, macbook, keyboard not working, mouse not working, trackpad, trackpad_broken, keyboard broken, mouse broken, macbook trackpad, macbook keyboard, macbook touchpad, "
KB0015751,TrainTraq - Won't Load,General,"traintraq, accessing traintraq, cant access traintraq, test wont load, flash player, traintraq wont load, sso, "
KB0015539,Not able to link TAMU Gmail to Personal Gmail,Google Apps,"tamu gmail, gmail, email, link email accounts, email accounts, gmail account, link accounts, personal gmail "
KB0015355,Windows 10 - OS install,Windows 10 OS,"KCS, windows 10 install, windows 10 OS install, windows installation, windows 10 installation, OS instal. "
KB0015137,Cannot Login to Windows,Windows Applications,"windows ,windows7, windows_7_login_issues, user_profile_service_failed, login_issue, user_profle, profile_service, login, "
KB0014835,Boot Issue (caused by update),Other Tech Support,"boot issue, windows_10, boot, bootdevice, boot cycle, hard drive, failure"
KB0014995,Exchange Email on Outlook 2010,Software,"outlook_2010, outlook_2011, Exchange profile, server_error, unble_to_connect_to_server, windows, server_cannot_be_reached"
KB0019344,How to Get Started with Qualtrics,Software,
KB0018702,Zoom - Instant Messaging ID and General Questions,Zoom,"KCS, zoom, zoom IM, zoom messaging ID, zoom ID, instant message, zoom message, instant messaging, recording, how to record, zoom meeting, zoom recordings"
KB0016451,Canvas - Unable to Log In (Invalid Password),TAMUCT,"KCS, canvas, warrior, web, tamuct, unable, log, on, in, logon, login, account, disabled, password, invalid, admin, administrators, administrator"
KB0020336,TAMUCT - Employee Mailboxes,TAMUCT,"KCS, tamuct_email, tamuct_employee, tamuct_faculty, tamuct_mail"
KB0015547,EndNote asking for product key,Software,"KCS, EndNote, EndNote with Word, Word product key Endnote, Endnote product key, endnote, product key, asking, ask, prompts, prompt, "
KB0014738,KCS for Email Incidents,Other Tech Support,"KCS, how_to_apply_kcs, knowledge_centered_service"
KB0018212,Outlook - Adding Personal Gmail,Outlook,"KCS, add_gmail_to_outlook, add_email_to_outlook, add_personal_email_to_outlook, add_personal_gmail_to_outlook"
KB0017158,"Office 365 - Unable to Sign In to OneDrive (""There is a problem with your account, 0X8004DE86"")",Office,"KCS, office, office_365, unable to log in, unable to sign in, onedrive, one_drive, there is a problem with your account, 0X8004DE86"
KB0014958,Can't Launch Multisim,Windows Applications,"KCS, Mulitsim, Multisim will not activate, active multisim, Multisim not working, National Instruments, Multisim issues,"
KB0018093,"HDC - Kiosk iPad not advancing past ""Complete Check-in""",Student Worker,"KCS, Kiosk_iPad_not_advancing_past_""Complete_Check-in"", kiosk_wont_ advance, kiosk_error, kiosk_ipad_wont_advance, kiosk_ipad_stuck, hdc_kiosk_error, hdc_kiosk"
KB0018252,Counter - Unable to Install macOS After New Drive Installation,macOSX,"macos, os, osx, partition, ssd, disk utility, can't partition, cannot partition, unable to partition, os install, install os, install macos, install osx, high sierra, sierra, mojave, Mediakit reports not enough space on device for requested operation"
KB0017884,eduroam - Unable to Connect (Problem with Certificates),WiFi,"KCS, eduroam, network, troubleshooting, network troubleshooting, unable to connect, can't connect, wifi, internet, international, travel, travelling, other campus"
KB0016004,Software - Solidworks Reinstall ,Software,"solidworks, install, software, solid works, solidworks not starting, reinstall"
KB0016744,Solidworks Installation - Additional Files Needed,Software,"KCS, Solidworks, solid works, solid_works, solid-works, solidworks error, solidworks_error, solid-works error, solid-works_error, solid works error, solid_works_error, solidworks installation, solidworks_installation"
KB0018313,Keyboard Lagging after Running Steam Game,Other Tech Support,"KCS, keyboard, lag, lagging, game, steam, software, "
KB0018166,GNS3 Troubleshooting,Software,"gns3, cannot open gns3, instance, vmware player, "
KB0015799,TAMU_WiFi Connection Trouble ,TAMULink-WPA,"KCS, TAMU_WiFi , slow,"
KB0015160,Dual boot ubuntu with windows 10,Linux,"Linux, Ubuntu_dualboot, Ubuntu_dual_boot, Ubuntu_setup, Ubuntu_installation, Ubuntu installation, Ubuntu dualboot, Ubuntu dual boot, partition for ubuntu, installing Ubuntu, Installing_Ubuntu,"
KB0020215,Zoom - Change Email Associated with Zoom,Zoom,"KCS,change zoom email,zoom,zoom email,email,"
KB0017566,Problems accessing SAS,VOAL,"KCS, SAS, oal, voal, access, standalone, software, license, restrictions, "
KB0016013,NetID - Unable to Login After Reset,NetID,"netid, cas, unable to login, password reset, aggieworks, "
KB0015577,Can't log out my Friends account,Other Tech Support,"cas, cache, cookies, cached password, can't logout, can't login, other account, friends account, friend account, cas.tamu.edu"
KB0015931,Aggie Ring,General,"KCS, Aggie Ring, Ring, Order Ring, Order Aggie Ring, Aggie Order Ring"
KB0016621,Parking Permit,General,"KCS, parking, permit, receive, late, school, time, mail, transportation, website,"
KB0018145,Emergency 911 on Campus,General,"how to call 911, can i call 911, on campus, off campus, emergency"
KB0016673,Howdy - Report Error with Term Panel,Howdy,"KCS, howdy popup error, howdy pop-up, pop up error on howdy, report error howdy, term panel howdy, howdy pop up, term panel"
KB0015869,Office 2016 - Apps Will Not Open on Windows,Office,"office_2016, microsoft office, Microsoft Office Products will not open, word, excel, powerpoint, wont open, 0xc0000142, uninstal office, apps wont open, windows, software, "
KB0016646,Dual Monitor - How to Set Up Dual Monitors,Counter,"KCS, dual monitor set up, how to configure dual monitor, dual monitor, macbook monitor, monitor, dual monitors"
KB0015264,Office 2016 - Won't Activate,Software,"office_2016, microsoft office, reinstall office, install office, word, remove office, windows, can't activate office, office won't activate"
KB0015507,NetID Password Lock,NetID,"netid, password lock, password, netid password, netid lock, this_account"
KB0015930,Drivers and Folders Cannot be Accessed,Network Drives,"KCS, drivers cannot be accessed, files cannot be accessed, folder access, file access, connection not restored, local device in use, network is not available, error accessi tamu files, tamu computer"
KB0015602,Can't login to Google,WiFi,"KCS, google, error, winsock, connection, reset, dns"
KB0015575,Issues with email on agrilifepass.tamu.edu and microsoftOnline,"Email, Calendar, and Collaboration","agnet email, agnet.tamu.edu, agrilife, agrilifepass, microsoft online, microsoftonline, agrilife first call"
KB0015052,Duo - Login Timed Out,Duo,"DUO, duo will not push, duo will not call, two-factor, sso, Duo_mobile,security,timed out,login_timed_out,duo_device,authentication,"
KB0016739,Software - Solidworks Product Key ,Software,"KCS, solidworks product key, solidworks download, solidworks product, enter key for solidworks, solidworks. serial code, product key"
KB0015919,Faculty Listed as Former Student,Staff Member,"KCS, new hire, staff member listed as former student, wrong classification in LDAP, LDAP error"
KB0016672,Emails - Unable to Send Emails,"Email, Calendar, and Collaboration","KCS, mass emails, unable to send email, proofpoint email, cannot send email, email block"
KB0015630,VOAL opens as a PDF,VOAL,"voal as pdf, voal not working, unable to open voal, cant use voal, "
KB0015881,eCampus Submission Issue,eCampus,"KCS, ecampus, its, submission, submissions, course, instructor, "
KB0015564,Computer will not charge,Hardware Repair,"KCS,charge,charging,die,voltage,stop_charging,power,battery"
KB0015596,Open Google homepage new tab,Google Apps,"google, google chrome, homepage, google.com, chrome crash, chrome crashes, "
KB0015375,No Wireless Networks Showing Up,WiFi,"KCS, wireless, tamulink, wireless_not_showing_up, not showing up, no visible networks, "
KB0014701,Office 2016 Won't Activate Mac,macOS Applications,"KCS, office_2016, download, office, mac, software"
KB0016629,Resnet - Register PS4 MAC Address,Resnet,"KCS, PS4 mac address, resnet PS4, play station resnet, mac address ps4, PS4, mac address, ps4, connect, dorm, internet, wifi, register, mac, address, internet,"
KB0015331,Software - Labview License Expired,Software,"KCS, labview liecense, labview expired, license expire, labview license expired, expired labview, expired license for labview, expired labview"
KB0016110,TAMU Gmail - Email Deliery Error,Gmail,"KCS, email_delivery_error_tamu_gmail, tamu_gmail_delivery_error, getting_delivery_error_when_sending_emails, "
KB0015153,Can't sign in to email,Gmail,"google, email, can't_sign_in, email_sign_in, gmail, login_issue, access, no_access, mail "
KB0015201,Turning off wifi on NetGear N300,Applications and Software,"netgear router, turnning off wireless on router, turning of wifi on router, netgrear_n300, wireless router, "
KB0014970,Trying to access VOAL ,Learning Management System,"VOAL, OAL, virtual_OAL, offcampus, off campus, computers, "
KB0014864,Locating link to Haven,Web Applications,"haven, title_IX_training, training, howdy, student_life, sexual_assault_training, part_one, part_two, where is haven, cant find haven, "
KB0017585,Exchange - Missing Exchange Folder ,Exchange,"KCS, Exchange, deleted folder, accidentally deleted folder, moved folder, folder missing in Exchange,  missing exchange folder"
KB0019352,Howdy Registration Tab Issues,Howdy,"KCS, Howdy, Howdy_registration, registration, registration_issue"
KB0019296,Microsoft Office Access for Prairie View A&M,Office,"KCS, office, microsoft_office, prairie view, "
KB0018649,Exchange App - Shared Mailbox,Outlook,"KCS, exchange app, exchange shared"
KB0020297,Former/Not Enrolled Student Tuition Payment Portal,Billing,"KCS,former_student_tuition,tuition_payment_portal,former_student_payment_portal,former_studnet,former_student_pay,tuition_portal,portal,former_student_howdy, former student payment portal, former student tution payment, tuition porta, not enrolled payment portal , tuition, loans payment "
KB0017112,TAMUCT WiFi - Connect on Chromebook,TAMUCT,"KCS, eduroam, TAMUCT, unable to connect, can't connect, wifi, wi-fi, chromebook, google chromebook"
KB0014792,Locked out of BillPay,Web Applications,"KCS, billpay, locked out billpay, SBS, billpay_suite, tuition website, pay my bill, parent"
KB0018779,GSC Room Repair - EIS Contact Information,Public Directory,"KCS, GSC, gsc conferene room, conference room, HDMI, network support, projection, general services complex, EIS, EIS contact, eis.tamu.edu"
KB0019832,Issues With Cisco VPN Speed,,KCS
KB0019153,Trouble configuring Outlook for Android,,KCS
KB0019665,Adobe Premier Pro Access Issues,Software,"KCS, adobe, adobe_primier_pro, adobe_primier"
KB0016402,Building - Access or Outage,"Access, Accounts, and ID","KCS, building access, keyless card access, keyless card, card access, building card, building swipe, locked out of building, acccess to dorm, access to location, building enterance, building outage, water issue, heating issue, building problem, door access, office access, building"
KB0015040,Activating Microsoft Project,Software,"microsoft, project, microsoft_project, download, activate_project"
KB0014871,Office on New Computer,Windows Applications,"KCS, Microsoft Office, Office software, software, new computer, "
KB0015059,Saving a Completed PDF,Other Tech Support,"KCS, save PDF, PDF help, fill out a PDF, using a PDF, PDF, "
KB0015269,Resolved IT Alerts,Other Tech Support,"it_alerts, italerts, outtage_alert, references_italerts, italerts_history"
KB0018031,WiFi Driver Missing - Windows 10,Windows 10 OS,"WINDOWS 10, win 10, wifi, wireless issue, missing driver, bootcamp, mac os, "
KB0018340,Snooze Emails in Webmail,Outlook,"KCS, snooze emails, return emails, webmail, revisit email, email boomerang"
KB0016497,Outlook - Create a Shared Calendar,Outlook,"KCS, create_shared_calendar_in_outlook, outlook_shared_calendar, shared_calendar_in_outlook"
KB0018329,Outlook - Edit Email Signature,Outlook,"KCS, outlook, signature, footer, exchange, email, edit, edit email"
KB0018291,Software - Never Received Aggie Fonts Email,Software,"KCS, aggie_fonts, email, instructions, never, email, download, never_received_aggie_fonts_email, "
KB0017810,Disable Exchange Account on Mobile Device,Exchange,"KCS, exchange_account, exchange, mobile, delete, data, email, "
KB0018305,Product Key Already in Use,Office,"KCS, Office, Product key, already in use, product key already in use, product key in use, office home and business, office for mac, office product key, office not installing, product key not working, product key error, office error"
KB0018697,DUO - 'Remeber me for 60 days' option greyed out,Duo,"KCS, duo_remember_me_for_60_days, duo, remember_me_option, option_greyed_out, option_grayed_out, can't_remember_for_60 days, no_option _or_remember_me, remember_me, 60_days, grey_option"
KB0018713,"DUO - Error ""Account Error Invalid Request Parameters"" ",Duo,"KCS, DUO, SSO_DUO, unable_to_reactivate_DUO, cannot_add_DUO, cannot_re-add_DUO, unable_to_activate_DUO, deleted_DUO, DUO_re-enroll, cannot_enroll_DUO, iphone, account_error, invalid_request_with_DUO, DUO_error_message"
KB0015579,Outlook Font too Small,"Email, Calendar, and Collaboration","KCS, outlook_font_too_small, font_size_too_small_outlook, font_size_too_small_in_outlook, change_font_in_outlook"
KB0014839,NetID - Password Reset,NetID,"access_code, opt out, opt in, over the phone reset, password reset, netid_password, netid, sspr, self_service_password, self_service_password_reset, password expired, change password, reset, forgot password, lost password, uin_password, sspr lock, sspr locked, security locked, need password reset, need access code, temporary access code"
KB0017224,Unable to Successfully Install Cisco AnyConnect,VPN,"KCS, cisco, anyconnect, install, windows, error, "
KB0017709,Negotiation Failed Error Hummingbird FTP,Windows Applications,"KCS, famis, ftp, file, transfer, hummingbird, humming_bird, humming, error, negotiation_failed, failed, connection"
KB0014891,Hummingbird Won't Connect,Software,"KCS, hummingbird, famis"
KB0015250,Software - Endnote Not Installing,Other Tech Support,"KCS, endnote, endnote_helper, export_helper, install_endnote"
KB0019312,Endnote 9.3.1 Installation MacOS Catalina,Software,KCS
KB0017632,Software - Can't download LabVIEW,Software,"KCS, unable to download LabVIEW, unable to download labview, error when downloading labview, file transfer blocked error, file transfer blocked labview, labview error, LabVIEW error"
KB0019955,Zoom - Zoom Participant Capacity,,"KCS, Zoom, Partcipants, Increasing_Capacity, 300_Participants, "
KB0017879,Date of Deletion for TAMU Gmail Accounts,Gmail,"KCS, deletion_date_tamu_gmail, when_do_tamu_accounts_delete, deletion_date_for_tamu_account, tamu_account_expiration_date"
KB0014734,Could Not Partition Disk Error- Bootcamp Assistant ,macOSX,"bootcamp, bootcamp_error, partition, partition_disk, could_not_create_partition"
KB0014783,PubMed Error,Other Tech Support,"KCS, pubmed,  medscience library, medscience, research, database, HSC, HSC HelpDesk"
KB0014790,Opening Solidworks Files on MAC,Windows Applications,"KCS, solidworks_mac, .sldprt, solidworks for mac, solidworks files on a mac, solidworks_mac, Mac_solidworks"
KB0015578,eCampus - Java Error when Submitting Assignment,eCampus,"ecampus, e campus, assignment, submitting assignment, ecampus assignment, ecampus submission, java, java applet, java error"
KB0014048,Not able to login to WiFi,Networking,"wifi, tamulink, tamulink-wpa, campus_wifi, login, error, windows, wireless, internet, surface_pro,  tamu_wifi, tamuwifi"
KB0015225,Cannot Connect to Wifi,Windows Applications,"wifi, cannot_connect_to_wifi, dns, dns_server, wifi_dns, server_dns, server_wifi, "
KB0015373,Setting Exchange on Outlook on Android ,Exchange,"KCS, exchange, outlook, android, outlook mobile, mobile email"
KB0020500,Canvas assigning points to assignments ,,KCS
KB0020499,Qualtrics IP Address can't be found,,KCS
KB0020498,Microsoft Surface Pen Unresponsive ,,KCS
KB0017770,Syncplicity - Unable to Log In to Windows Client (Incorrect Account Info),Software,"KCS, syncplicity, can't log in to syncplicity, cannot log in to syncplicity, unable to log in to syncplicity, windows client, syncplicity client, syncplicity desktop client, syncplicity windows desktop client, syncplicity windows client"
KB0018197,Outlook - Add Shared Mailbox,Outlook,"windows, win, outlook, adding shared mailbox, shared mail, exchange, outlook 2013, 2016, can i add a shared mailbox, how to check mail, email, shared email, "
KB0020472,Shared Mailbox with Apple Mail,,KCS
KB0018985,Add Exchange Mailbox to Mac Mail,,"KCS, exchange_mac, mac_exchange, mac_mail, mac_exchange_mail, mac_mail_exchange, exchange_mac_mail"
KB0016198,Exchange - Lost Access to Shared Mailbox,Exchange,"KCS, lost access to exchange account, forgot exchange password, lost access to shared mailbox, requesting access to exchange account, request log in to exchange, request access to mailbox, access shared mailbox, lost access to exchange calendar, exhcnage calendar, shared calendar, shared mailbox"
KB0020474,Outlook - Adding Shared Mailbox,,"KCS, add_shared_mailbox_in_outlook, shared_mailbox_outlook, outlook_shared_mailbox, add_mailbox_in_outlook, outlook_add_mailbox"
KB0014727,Matlab Stopped Working,Windows Applications,"KCS, matlab login, mathworks account, matlab trial period, matlab account, matlab signin, matlab sign in, mat lab, "
KB0018156,Former Employee - W-2 Tax Form ,"Access, Accounts, and ID","w2, w-2, taxes, how do i get tax form, tax forms, cant login, sso, netid, former employee"
KB0015536,Former Employee Workday Access,"Access, Accounts, and ID","former employee, employee, workday, sso"
